"timeUTC","outputV1","outputV2","outputV3","outputV4"
2014-01-01 00:00:00,88.877,94.428,28.332,69.084
2014-01-01 01:00:00,101.2,82.429,25.941,64.016
2014-01-01 02:00:00,122.118,82.776,24.809,58.472
2014-01-01 03:00:00,114.948,80.672,28.703,55.232
2014-01-01 04:00:00,105.279,82.208,27.665,53.239
2014-01-01 05:00:00,105.358,84.912,32.909,53.44
2014-01-01 06:00:00,106.162,83.303,37.082,55.564
2014-01-01 07:00:00,110.673,81.481,41.403,58.279
2014-01-01 08:00:00,119.924,78.265,45.062,65.129
2014-01-01 09:00:00,128.817,76.903,48.1,71.216
2014-01-01 10:00:00,135.235,75.536,49.022,78.215
2014-01-01 11:00:00,142.625,75.878,49.056,84.309
2014-01-01 12:00:00,145.984,90.951,48.837,88.931
2014-01-01 13:00:00,146.848,106.58,47.866,90.293
2014-01-01 14:00:00,147.038,129.095,45.972,85.792
2014-01-01 15:00:00,147.03,158.554,44.653,62.613
2014-01-01 16:00:00,146.796,180.327,43.868,42.176
2014-01-01 17:00:00,145.39,178.954,43.273,37.707
2014-01-01 18:00:00,143.648,161.243,43.172,43.156
2014-01-01 19:00:00,142.954,128.337,43.008,62.031
2014-01-01 20:00:00,140.648,142.7,41.687,74.256
2014-01-01 21:00:00,136.075,147.4,40.128,76.706
2014-01-01 22:00:00,130.536,143.841,36.662,76.356
2014-01-01 23:00:00,124.921,137.374,36.851,71.662
2014-01-02 00:00:00,118.289,130.228,35.325,72.476
2014-01-02 01:00:00,111.578,127.602,33.335,70.697
2014-01-02 02:00:00,99.952,143.251,29.814,66.733
2014-01-02 03:00:00,87.739,152.337,29.444,64.215
2014-01-02 04:00:00,94.98,141.988,32.964,62.627
2014-01-02 05:00:00,97.823,142.703,32.178,60.306
2014-01-02 06:00:00,89.355,142.09,30.554,58.039
2014-01-02 07:00:00,78.612,137.589,31.783,63.732
2014-01-02 08:00:00,74.52,139.39,32.304,66.299
2014-01-02 09:00:00,72.155,121.247,30.575,64.885
2014-01-02 10:00:00,77.523,103.787,29.93,66.59
2014-01-02 11:00:00,67.363,121.271,30.481,68.527
2014-01-02 12:00:00,80.559,132.829,31.785,66.414
2014-01-02 13:00:00,85.92,132.302,29.776,59.286
2014-01-02 14:00:00,80.367,125.476,29.648,56.403
2014-01-02 15:00:00,74.387,120.843,32.423,58.21
2014-01-02 16:00:00,74.804,119.069,31.628,58.604
2014-01-02 17:00:00,72.811,106.269,34.406,65.804
2014-01-02 18:00:00,79.561,101.996,39.73,73.48
2014-01-02 19:00:00,87.074,103.256,42.015,85.68
2014-01-02 20:00:00,95.927,100.157,44.529,93.665
2014-01-02 21:00:00,109.693,120.281,46.131,92.935
2014-01-02 22:00:00,114.627,140.72,46.627,93.496
2014-01-02 23:00:00,121.836,151.741,46.358,93.8
2014-01-03 00:00:00,129.905,168.379,46.096,93.772
2014-01-03 01:00:00,133.6,171.964,44.992,93.805
2014-01-03 02:00:00,134.712,165.335,44.274,93.405
2014-01-03 03:00:00,123.546,173.906,45.312,92.801
2014-01-03 04:00:00,99.574,177.455,46.564,89.866
2014-01-03 05:00:00,79.928,180.871,47.331,83.973
2014-01-03 06:00:00,87.618,185.532,47.8,71.991
2014-01-03 07:00:00,98.093,191.545,48.334,61.909
2014-01-03 08:00:00,106.537,194.537,48.387,57.301
2014-01-03 09:00:00,118.855,195.552,48.43,58.476
2014-01-03 10:00:00,131.367,194.119,48.422,62.552
2014-01-03 11:00:00,137.747,190.992,48.203,76.739
2014-01-03 12:00:00,139.941,189.516,48.433,84.139
2014-01-03 13:00:00,140.379,192.186,48.654,87.658
2014-01-03 14:00:00,139.181,195.448,48.716,91.694
2014-01-03 15:00:00,140.67,195.51,48.76,93.72
2014-01-03 16:00:00,141.891,194.919,48.819,93.4
2014-01-03 17:00:00,141.959,192.836,48.854,91.536
2014-01-03 18:00:00,142.12,190.435,48.902,87.945
2014-01-03 19:00:00,142.209,186.708,48.832,84.043
2014-01-03 20:00:00,141.66,183.895,48.492,85.765
2014-01-03 21:00:00,139.831,180.01,47.379,91.42
2014-01-03 22:00:00,135.779,175.834,44.128,93.134
2014-01-03 23:00:00,129.278,177.66,33.5,92.036
2014-01-04 00:00:00,114.206,182.27,23.793,89.622
2014-01-04 01:00:00,83.782,185.892,26.534,83.812
2014-01-04 02:00:00,74.92,185.71,34.686,74.675
2014-01-04 03:00:00,83.334,178.341,34.406,61.978
2014-01-04 04:00:00,108.356,163.881,31.119,54.196
2014-01-04 05:00:00,123.935,147.624,31.297,49.265
2014-01-04 06:00:00,130.996,127.173,30.573,41.537
2014-01-04 07:00:00,137.757,93.059,25.99,35.486
2014-01-04 08:00:00,140.004,71.03,20.017,33.036
2014-01-04 09:00:00,137.035,51.442,15.538,27.755
2014-01-04 10:00:00,130.756,28.604,12.206,20.998
2014-01-04 11:00:00,120.084,16.173,16.281,20.082
2014-01-04 12:00:00,109.249,16.479,24.653,21.133
2014-01-04 13:00:00,88.065,15.859,29.182,23.053
2014-01-04 14:00:00,66.683,9.267,30.031,24.718
2014-01-04 15:00:00,56.649,5.351,28.842,27.446
2014-01-04 16:00:00,48.762,12.332,26.336,29.613
2014-01-04 17:00:00,51.389,20.965,21.25,29.999
2014-01-04 18:00:00,56.422,24.836,20.419,30.222
2014-01-04 19:00:00,58.129,23.794,24.521,31.93
2014-01-04 20:00:00,55.784,24.925,28.875,35.761
2014-01-04 21:00:00,53.826,27.321,29.266,37.264
2014-01-04 22:00:00,53.166,30.845,28.464,38.534
2014-01-04 23:00:00,51.529,39.431,25.909,35.485
2014-01-05 00:00:00,52.669,47.612,22.143,32.101
2014-01-05 01:00:00,48.079,49.975,22.926,32.329
2014-01-05 02:00:00,42.873,49.992,25.049,29.658
2014-01-05 03:00:00,41.193,53.226,18.93,31.288
2014-01-05 04:00:00,42.574,62.838,16.225,40.875
2014-01-05 05:00:00,32.846,64.522,18.983,50.038
2014-01-05 06:00:00,29.239,61.824,23.707,51.72
2014-01-05 07:00:00,31.213,58.573,26.776,53.37
2014-01-05 08:00:00,31.254,56.074,27.869,59.827
2014-01-05 09:00:00,29.775,57.664,29.033,74.879
2014-01-05 10:00:00,32.52,64.015,32.351,87.601
2014-01-05 11:00:00,42.185,70.79,38.46,93.789
2014-01-05 12:00:00,54.318,83.238,45.842,91.481
2014-01-05 13:00:00,68.925,114.39,47.774,88.98
2014-01-05 14:00:00,84.177,132.972,48.383,92.49
2014-01-05 15:00:00,105.116,159.138,47.149,92.032
2014-01-05 16:00:00,126.354,185.708,45.48,83.778
2014-01-05 17:00:00,138.776,187.365,45.337,79.388
2014-01-05 18:00:00,138.236,183.088,44.454,78.791
2014-01-05 19:00:00,135.789,178.309,46.159,81.667
2014-01-05 20:00:00,135.145,168.11,48.332,90.672
2014-01-05 21:00:00,139.747,163.004,47.403,92.097
2014-01-05 22:00:00,143.187,162.044,44.956,89.003
2014-01-05 23:00:00,140.847,162.338,43.636,83.729
2014-01-06 00:00:00,138.86,168.365,43.264,75.513
2014-01-06 01:00:00,137.523,169.641,44.564,74.811
2014-01-06 02:00:00,136.305,162.342,45.752,78.497
2014-01-06 03:00:00,135.096,152.012,46.197,85.652
